,x,y,shape
0,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/219.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (219).jpg,"(800, 800, 3)"
1,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/15.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (15).jpg,"(800, 800, 3)"
2,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/130.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (130).jpg,"(800, 800, 3)"
3,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/113.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (113).jpg,"(800, 800, 3)"
4,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/199.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (199).jpg,"(800, 800, 3)"
5,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/238.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (238).jpg,"(800, 800, 3)"
6,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/153.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (153).jpg,"(800, 800, 3)"
7,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/100.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (100).jpg,"(800, 800, 3)"
8,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/243.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (243).jpg,"(800, 800, 3)"
9,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/200.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (200).jpg,"(800, 800, 3)"
10,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/84.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (84).jpg,"(800, 800, 3)"
11,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/89.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (89).jpg,"(800, 800, 3)"
12,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/234.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (234).jpg,"(800, 800, 3)"
13,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/19.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (19).jpg,"(800, 800, 3)"
14,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/128.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (128).jpg,"(800, 800, 3)"
15,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/144.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (144).jpg,"(800, 800, 3)"
16,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/26.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (26).jpg,"(800, 800, 3)"
17,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/96.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (96).jpg,"(800, 800, 3)"
18,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/21.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (21).jpg,"(800, 800, 3)"
19,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/120.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (120).jpg,"(800, 800, 3)"
20,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/22.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (22).jpg,"(800, 800, 3)"
21,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/16.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (16).jpg,"(800, 800, 3)"
22,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/116.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (116).jpg,"(800, 800, 3)"
23,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/25.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (25).jpg,"(800, 800, 3)"
24,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/146.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (146).jpg,"(800, 800, 3)"
25,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/47.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (47).jpg,"(800, 800, 3)"
26,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/180.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (180).jpg,"(800, 800, 3)"
27,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/249.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (249).jpg,"(800, 800, 3)"
28,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/40.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (40).jpg,"(800, 800, 3)"
29,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/110.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (110).jpg,"(800, 800, 3)"
30,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/103.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (103).jpg,"(800, 800, 3)"
31,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/30.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (30).jpg,"(800, 800, 3)"
32,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/80.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (80).jpg,"(800, 800, 3)"
33,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/220.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (220).jpg,"(800, 800, 3)"
34,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/79.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (79).jpg,"(800, 800, 3)"
35,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/143.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (143).jpg,"(800, 800, 3)"
36,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/118.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (118).jpg,"(800, 800, 3)"
37,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/102.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (102).jpg,"(800, 800, 3)"
38,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/203.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (203).jpg,"(800, 800, 3)"
39,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/111.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (111).jpg,"(800, 800, 3)"
40,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/230.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (230).jpg,"(800, 800, 3)"
41,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/193.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (193).jpg,"(800, 800, 3)"
42,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/32.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (32).jpg,"(800, 800, 3)"
43,/home/patrick/Git/OAM/AutoEncoder/Train/Input/1/125.jpg,/home/patrick/Git/OAM/AutoEncoder/Train/Output/1/a (125).jpg,"(800, 800, 3)"
